model,dx,dy,k,h,noise_dist,noise_std,seed_rep,loss_phi,mse
preANM,2,2,2,square,uniform,1.0,2,power_1,0.014268239960074425
preANM,2,2,2,square,uniform,1.0,2,exp,0.0006943669286556542
preANM,2,2,2,square,uniform,1.0,2,log1p,0.002179054543375969
preANM,2,2,2,square,uniform,1.0,2,frac,0.001965138129889965
preANM,2,2,2,square,uniform,1.0,3,power_0.5,0.0007121799280866981
preANM,2,2,2,square,uniform,1.0,3,power_1,0.2543099820613861
preANM,2,2,2,square,uniform,1.0,3,exp,0.000680499360896647
preANM,2,2,2,square,uniform,1.0,3,log1p,0.0007485674577765167
preANM,2,2,2,square,uniform,1.0,3,frac,0.0005460281390696764
preANM,2,2,2,square,uniform,1.0,4,power_0.5,0.019992373883724213
preANM,2,2,2,square,uniform,1.0,4,power_1,1.5185143947601318
preANM,2,2,2,square,uniform,1.0,4,exp,0.039914630353450775
preANM,2,2,2,square,uniform,1.0,4,log1p,0.02704796753823757
preANM,2,2,2,square,uniform,1.0,4,frac,0.023048989474773407
preANM,2,2,2,square,uniform,1.0,5,power_0.5,0.001202190644107759
preANM,2,2,2,square,uniform,1.0,5,power_1,0.03207958862185478
preANM,2,2,2,square,uniform,1.0,5,exp,0.0023537876550108194
preANM,2,2,2,square,uniform,1.0,5,log1p,0.00218385667540133
preANM,2,2,2,square,uniform,1.0,5,frac,0.0006446590414270759
preANM,2,2,2,square,uniform,1.0,6,power_0.5,0.030651971697807312
preANM,2,2,2,square,uniform,1.0,6,power_1,3.7494702339172363
preANM,2,2,2,square,uniform,1.0,6,exp,0.1648954600095749
preANM,2,2,2,square,uniform,1.0,6,log1p,0.13211894035339355
preANM,2,2,2,square,uniform,1.0,6,frac,0.17356760799884796
preANM,2,2,2,square,uniform,1.0,7,power_0.5,0.00029232725501060486
preANM,2,2,2,square,uniform,1.0,7,power_1,0.04048214852809906
preANM,2,2,2,square,uniform,1.0,7,exp,0.0005733591387979686
preANM,2,2,2,square,uniform,1.0,7,log1p,0.000452003296231851
preANM,2,2,2,square,uniform,1.0,7,frac,0.0004533806932158768
preANM,2,2,2,square,uniform,1.0,8,power_0.5,0.001439739135093987
preANM,2,2,2,square,uniform,1.0,8,power_1,0.03274230659008026
preANM,2,2,2,square,uniform,1.0,8,exp,0.0020917761139571667
preANM,2,2,2,square,uniform,1.0,8,log1p,0.0019552703015506268
preANM,2,2,2,square,uniform,1.0,8,frac,0.0020139224361628294
preANM,2,2,2,square,uniform,1.0,9,power_0.5,0.005035838577896357
preANM,2,2,2,square,uniform,1.0,9,power_1,10.152575492858887
preANM,2,2,2,square,uniform,1.0,9,exp,0.007214763667434454
preANM,2,2,2,square,uniform,1.0,9,log1p,0.026618365198373795
preANM,2,2,2,square,uniform,1.0,9,frac,0.004862290341407061
preANM,2,2,2,square,uniform,2.0,0,power_0.5,0.31948530673980713
preANM,2,2,2,square,uniform,2.0,0,power_1,1.169433355331421
preANM,2,2,2,square,uniform,2.0,0,exp,0.5780747532844543
preANM,2,2,2,square,uniform,2.0,0,log1p,0.5415135622024536
preANM,2,2,2,square,uniform,2.0,0,frac,0.33147552609443665
preANM,2,2,2,square,uniform,2.0,1,power_0.5,0.004192037973552942
preANM,2,2,2,square,uniform,2.0,1,power_1,0.3112398087978363
preANM,2,2,2,square,uniform,2.0,1,exp,0.006572091020643711
preANM,2,2,2,square,uniform,2.0,1,log1p,0.008992018178105354
preANM,2,2,2,square,uniform,2.0,1,frac,0.001969030359759927
preANM,2,2,2,square,uniform,2.0,2,power_0.5,0.01070344727486372
preANM,2,2,2,square,uniform,2.0,2,power_1,0.1049109399318695
preANM,2,2,2,square,uniform,2.0,2,exp,0.012686651200056076
preANM,2,2,2,square,uniform,2.0,2,log1p,0.01729840412735939
preANM,2,2,2,square,uniform,2.0,2,frac,0.005705798510462046
preANM,2,2,2,square,uniform,2.0,3,power_0.5,0.011146987788379192
preANM,2,2,2,square,uniform,2.0,3,power_1,0.016981804743409157
preANM,2,2,2,square,uniform,2.0,3,exp,0.012561568059027195
preANM,2,2,2,square,uniform,2.0,3,log1p,0.012084102258086205
preANM,2,2,2,square,uniform,2.0,3,frac,0.012564782053232193
preANM,2,2,2,square,uniform,2.0,4,power_0.5,0.32185599207878113
preANM,2,2,2,square,uniform,2.0,4,power_1,14.094019889831543
preANM,2,2,2,square,uniform,2.0,4,exp,0.610344409942627
preANM,2,2,2,square,uniform,2.0,4,log1p,0.5707982182502747
preANM,2,2,2,square,uniform,2.0,4,frac,0.1718061864376068
preANM,2,2,2,square,uniform,2.0,5,power_0.5,0.01153437327593565
preANM,2,2,2,square,uniform,2.0,5,power_1,0.6164652705192566
preANM,2,2,2,square,uniform,2.0,5,exp,0.012721334584057331
preANM,2,2,2,square,uniform,2.0,5,log1p,0.01663006655871868
preANM,2,2,2,square,uniform,2.0,5,frac,0.007533196825534105
preANM,2,2,2,square,uniform,2.0,6,power_0.5,1.5118670463562012
preANM,2,2,2,square,uniform,2.0,6,power_1,45.10619354248047
preANM,2,2,2,square,uniform,2.0,6,exp,0.9833029508590698
preANM,2,2,2,square,uniform,2.0,6,log1p,1.2991890907287598
preANM,2,2,2,square,uniform,2.0,6,frac,0.7957179546356201
